name
故宫博物院
中国科学技术馆
中国地质博物馆
中国人民革命军事博物馆
中国航空博物馆
北京鲁迅博物馆
首都博物馆
北京自然博物馆
中国人民抗日战争纪念馆
周口店遗址博物馆
中国国家博物馆
中国农业博物馆
北京天文馆
恭王府
天津博物馆
天津自然博物馆
周恩来邓颖超纪念馆
河北博物院
西柏坡纪念馆
邯郸市博物馆
山西博物院
中国煤炭博物馆
八路军太行纪念馆
内蒙古博物院
鄂尔多斯博物馆
辽宁省博物馆
“九·一八”历史博物馆
旅顺博物馆
沈阳故宫博物院
大连现代博物馆
吉林省自然博物馆
吉林省博物院
伪满皇宫博物院
东北烈士纪念馆
大庆铁人王进喜纪念馆
瑷珲历史陈列馆
黑龙江省博物馆
大庆博物馆
上海博物馆
上海鲁迅纪念馆
中国共产党第一次全国代表大会会址
上海科技馆
上海鲁迅纪念馆
南京博物院
侵华日军南京大屠杀遇难同胞纪念馆
南通博物苑
苏州博物馆
扬州博物馆
常州博物馆
南京市博物总馆
浙江省博物馆
温州博物馆
浙江自然博物馆
中国丝绸博物馆
宁波博物馆
杭州博物馆
安徽博物院
安徽中国徽州文化博物馆
福建博物院
古田会议纪念馆
泉州海外交通史博物馆
中央苏区（闽西）历史博物馆
闽西革命历史博物馆
井冈山革命博物馆
江西省博物馆
中央革命根据地纪念馆
八一南昌起义纪念馆
安源路矿工人运动纪念馆
青岛市博物馆
中国甲午战争博物馆
青州博物馆
山东博物馆
烟台市博物馆
潍坊市博物馆
河南博物院
郑州博物馆
洛阳博物馆
汉画馆
开封博物馆
鄂豫皖苏区首府革命博物馆
湖北省博物馆
荆州博物馆
武汉博物馆
辛亥革命武昌起义纪念馆
武汉中山舰博物馆
湖南省博物馆
韶山毛泽东故居纪念馆
刘少奇故居纪念馆
长沙简牍博物馆
广东省博物馆
西汉南越王博物馆
孙中山故居纪念馆
深圳博物馆
广州博物馆
广东民间工艺博物馆
广西壮族自治区博物馆
广西民族博物馆
海南省博物馆
自贡恐龙博物馆
三星堆博物馆
成都武侯祠博物馆
邓小平故居陈列馆
成都杜甫草堂博物馆
四川博物院
成都金沙遗址博物馆
自贡市盐业历史博物馆
遵义会议纪念馆
云南省博物馆
云南民族博物馆
重庆中国三峡博物馆
重庆红岩革命历史博物馆
重庆自然博物馆
西藏博物馆
陕西历史博物馆
秦始皇兵马俑博物馆
延安革命纪念馆
汉阳陵博物馆
西安碑林博物馆
西安半坡博物馆
西安博物院
宝鸡青铜器博物院
大唐西市博物馆
甘肃省博物馆
天水市博物馆
敦煌研究院
宁夏固原博物馆
宁夏回族自治区博物馆
青海省博物馆
新疆维吾尔自治区博物馆
吐鲁番博物馆
